variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
val_selected_per_essay_set_model,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
baseline_positive_linear,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.0,0.0,0.0
set6_gbdt_only,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.0,0.0,0.0
val_selected_per_essay_set_model,val,2,360,0.6184605131622793,0.5909943120621901,0.7258254763360842,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.014335909758760534,-0.004316605366295079,0.008046710745995722
baseline_positive_linear,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_selected_qwk_only,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_selected_balanced,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_selected_conservative,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_manual_safe_group,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
set6_gbdt_only,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.6041246034035188,0.5953109174284852,0.7177787655900885,0.0,0.0,0.0
baseline_positive_linear,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_selected_qwk_only,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_selected_balanced,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_selected_conservative,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_manual_safe_group,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
set6_gbdt_only,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
val_selected_per_essay_set_model,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.6320787763203985,0.4692194069208576,0.7111554184315203,0.0,0.0,0.0
baseline_positive_linear,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_selected_qwk_only,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_selected_balanced,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_selected_conservative,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_manual_safe_group,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
set6_gbdt_only,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
val_selected_per_essay_set_model,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.5540093951403573,0.5690471945436656,0.7045375096486235,0.0,0.0,0.0
baseline_positive_linear,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_selected_qwk_only,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_selected_balanced,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_selected_conservative,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_manual_safe_group,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
set6_gbdt_only,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981,0.7533723138101138,0.452642338481847,0.8179703654692981,0.0,0.0,0.0
